scenario,family,target,n,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p,rmse,rmse_ci_low,rmse_ci_high,r_squared,spearman_r,winner_pearson_holm_p
primary,joint_rf,SWB_nn,104,0.2467042330190994,0.0568154420085266,0.4193673385513733,0.0115815944788296,0.1661067154487637,0.1456357955821815,0.186444166158528,0.0197765644270597,0.2752806128851976,0.0231631889576593
primary,joint_rf,SWB_pp,104,0.2844371940332971,0.0971719774398177,0.4522514233484326,0.0034297420511893,0.1648669756713614,0.1434437313681295,0.1871174934634138,0.0400921072305404,0.251284947143236,0.0102892261535679
primary,joint_rf,SWB_avg,104,0.1519207471584499,-0.0418931951662927,0.3347158078931731,0.12367757520742,0.2024146798455333,0.1813676198002255,0.2221605013328184,0.0146190264593617,0.166749778544883,0.12367757520742
latest_record,joint_rf,SWB_nn,104,0.2594921841101283,0.0704233771211299,0.4305629650759294,0.0078127485103076,0.1744148615050525,0.1537750133084108,0.1941322994629638,0.0235362854292182,0.2546148003377649,
latest_record,joint_rf,SWB_pp,104,0.286400207395162,0.0992884668414036,0.4539497845543069,0.0032043335058244,0.1633466834900008,0.1442608641983501,0.1823409299884753,0.0475052089552011,0.2654137104563994,
latest_record,joint_rf,SWB_avg,104,0.1007573197153406,-0.0936481164561944,0.2877616244461248,0.3088201781093907,0.2070123679300654,0.1850930989407667,0.2280127478335802,0.0083410658586009,0.1142313535330569,
singleton_uids,joint_rf,SWB_nn,85,0.3034675153443992,0.0965905452997942,0.4852100393150189,0.0047530247413572,0.170874273700153,0.1469802483708325,0.1945746936315257,0.0254851040861612,0.2854867391899896,
singleton_uids,joint_rf,SWB_pp,85,0.3014820319200127,0.0944250493816601,0.4835373500607786,0.0050484282975137,0.1613660319173866,0.1384977849665842,0.1838898006492958,0.0550476329064533,0.2586170798955346,
singleton_uids,joint_rf,SWB_avg,85,0.1725573884839151,-0.0421155412947568,0.3720007225647283,0.1142864913903496,0.2065113423273863,0.1849021075812245,0.2285900248968539,0.0266487855910048,0.181218658024466,
restricted_features,joint_rf,SWB_nn,104,0.3008542228503657,0.1149248567034641,0.4664177462400834,0.0019139432877752,0.1651856345559384,0.1459106081440264,0.1851341580239624,0.0306173282009616,0.2931767909012157,
restricted_features,joint_rf,SWB_pp,104,0.2683623416135119,0.0799038197940262,0.4382978326180593,0.0058798158913494,0.1652788094559713,0.1424947605201746,0.1880980719737101,0.0352904633373738,0.2805154318431316,
restricted_features,joint_rf,SWB_avg,104,0.1248545654891713,-0.0694024781901582,0.3099889454235245,0.2066500633814223,0.2031299125670529,0.182204372961172,0.2232782592293053,0.0076430316251546,0.1346578478942189,
