scenario,family,target,n,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p,rmse,rmse_ci_low,rmse_ci_high,r_squared,spearman_r,winner_pearson_holm_p
primary,mean,SWB_nn,104,,,,,0.16949217610957298,0.15043124460650692,0.18986777907724564,-0.020586951544324439,,
primary,mean,SWB_pp,104,,,,,0.1696342018337145,0.14626830078325204,0.19236461104845981,-0.016223092245179815,,
primary,mean,SWB_avg,104,,,,,0.20484879992365415,0.18402047107647693,0.22538168351951129,-0.0092226959348737925,,
primary,ridge,SWB_nn,104,0.27374196169098497,0.085670226285642428,0.44297668682262781,0.0049263584426511783,0.16880957486790749,0.14836909545288401,0.18883779102363221,-0.01238302015298709,0.23477648699939194,
primary,ridge,SWB_pp,104,0.33039831706740197,0.14717495593850882,0.49169930921099142,0.00061385830804974934,0.16304128406456808,0.14024608981126646,0.18573969151824038,0.061233908947264992,0.39535405758844505,
primary,ridge,SWB_avg,104,0.1662905696023585,-0.027167718083613127,0.34774214195857278,0.09158228307060659,0.20177095376428536,0.18118366735236796,0.22157868892629948,0.02087654490921298,0.16055584888224866,
primary,single_rf,SWB_nn,104,0.23020790100159977,0.039364933290362336,0.40484709603512642,0.018724862019041943,0.16518099748648257,0.14386913581346453,0.1852860527329637,0.030671752203359492,0.22435396660857065,
primary,single_rf,SWB_pp,104,0.32515761290545409,0.14142567995653518,0.487234471117098,0.00075743247633499179,0.16341687220338894,0.14116256958515797,0.18557406321349704,0.056903772194761726,0.31451616925446851,
primary,single_rf,SWB_avg,104,0.18445045222281239,-0.0084374979525015416,0.36410459513700272,0.060873211097566701,0.20132995873829726,0.18036447071105335,0.22197437705589801,0.025151855127893641,0.16624207939220811,
primary,single_et,SWB_nn,104,0.27606427594342686,0.088163411058257035,0.44499364453945067,0.004559218400500665,0.16540144532170284,0.14534884306239801,0.18607059789820163,0.028082726731741614,0.26737958384469296,
primary,single_et,SWB_pp,104,0.27459720614343114,0.086588123744270523,0.44371967619027497,0.0047881941529099416,0.16515471552041464,0.14229885966920811,0.18735078092776541,0.036738557762326596,0.27402511040483246,
primary,single_et,SWB_avg,104,0.22458202449273632,0.033440147805508344,0.39987491818254706,0.02190702026624337,0.20037374758536294,0.17947684089538424,0.22012821552633993,0.034389894399590615,0.16099941761563835,
primary,single_hgb,SWB_nn,104,0.075357344139060867,-0.11895730075100827,0.26411252078397957,0.44708074218779287,0.17241571861106536,0.15018654975950976,0.19434225183355361,-0.056098469835518028,0.066114357948131308,
primary,single_hgb,SWB_pp,104,0.21907160223000055,0.027649945255004117,0.3949947571315327,0.025462445421290811,0.16674482533950158,0.14566585252424302,0.18702138145434502,0.018100700083424348,0.15093335986760772,
primary,single_hgb,SWB_avg,104,0.18973828326705808,-0.0029580323146567297,0.36884829045544842,0.053714150049045908,0.20385770319248475,0.17998399783369273,0.22679957887234839,0.0005192956991283415,0.19910357507429541,
primary,joint_rf,SWB_nn,104,0.24670423301909944,0.056815442008526604,0.41936733855137331,0.011581594478829676,0.16610671544876374,0.14563579558218159,0.18644416615852807,0.019776564427059773,0.27528061288519767,0.023163188957659352
primary,joint_rf,SWB_pp,104,0.28443719403329715,0.097171977439817786,0.4522514233484326,0.0034297420511893105,0.16486697567136147,0.14344373136812955,0.18711749346341386,0.040092107230540464,0.25128494714323607,0.010289226153567931
primary,joint_rf,SWB_avg,104,0.15192074715844991,-0.041893195166292772,0.33471580789317312,0.12367757520742007,0.20241467984553332,0.18136761980022559,0.22216050133281845,0.01461902645936175,0.16674977854488307,0.12367757520742007
primary,joint_et,SWB_nn,104,0.31178096157442065,0.12680690020442625,0.47579963483874671,0.0012737426111133596,0.16571206591587787,0.14524498372220018,0.18607208328359895,0.024428816706156042,0.30679925476415493,
primary,joint_et,SWB_pp,104,0.30563270727579173,0.12011457767559412,0.47052522447271822,0.0016047698501340077,0.16550411955395986,0.14205468621883544,0.1878882552492232,0.032658462852356074,0.30233145880116774,
primary,joint_et,SWB_avg,104,0.22676822217475684,0.035740905738043886,0.40180831704147357,0.020619265583825368,0.20126322616512396,0.1804491357239596,0.22175940112295189,0.025797991889547678,0.18179370606888301,
primary,multitask_en,SWB_nn,104,0.33140106483846421,0.14827642591310175,0.49255263844688923,0.0005894117492860068,0.16571076410241362,0.14602992335509316,0.18589176563671173,0.024444144578706362,0.34411946360591678,
primary,multitask_en,SWB_pp,104,0.40159105604310263,0.22652246552133523,0.55152351042788605,2.3869307400729432e-05,0.16500948323125592,0.14312723648534886,0.18667431031324427,0.038431941488365928,0.40846824617365041,
primary,multitask_en,SWB_avg,104,0.16841848431411827,-0.02497997670641941,0.34966517366963651,0.08744904748360581,0.20247618341011561,0.18207722931531325,0.22261928834482625,0.014020120790068313,0.20472567516496959,
latest_record,mean,SWB_nn,104,,,,,0.17783206932492918,0.15788096639467925,0.19825973135427075,-0.01510110121215491,,
latest_record,mean,SWB_pp,104,,,,,0.167819144399383,0.14829813564956182,0.18769143354292606,-0.0053678012940912012,,
latest_record,mean,SWB_avg,104,,,,,0.20797948147750744,0.18758093084116864,0.2274857410438389,-0.00094617645286021457,,
latest_record,ridge,SWB_nn,104,0.24041001851023852,0.050143441760872112,0.41383750946190612,0.013961751903957953,0.17720040187787975,0.1572153600262719,0.1967153855725759,-0.0079025399313417122,0.19452850689059142,
