outer_fold,procedure,target,candidate,n,rmse,normalized_rmse,r
0,selected,SWB_nn,original_rf,187,0.16180387540926033,1.0136802003304548,-0.09898108317957623
0,selected,SWB_pp,original_rf,187,0.15050638463717822,0.9689018542092114,0.0029290239784048886
0,selected,SWB_avg,original_rf,187,0.1926726967658889,0.8967487605786348,0.04480755964935478
0,original_rf,SWB_nn,original_rf,187,0.16180387540926033,1.0136802003304548,-0.09898108317957623
0,original_rf,SWB_pp,original_rf,187,0.15050638463717822,0.9689018542092114,0.0029290239784048886
0,original_rf,SWB_avg,original_rf,187,0.1926726967658889,0.8967487605786348,0.04480755964935478
0,mean,SWB_nn,mean,187,0.15833285423686133,0.99193470487499,
0,mean,SWB_pp,mean,187,0.14873927184807573,0.9575258659939229,
0,mean,SWB_avg,mean,187,0.1918044990985907,0.8927079431968502,
1,selected,SWB_nn,en_0.1_0.5,187,0.16586603736634087,1.053703362815813,0.1518391863806503
1,selected,SWB_pp,en_0.1_0.5,187,0.15391292663351427,0.999024924302886,0.050650612748933635
1,selected,SWB_avg,en_0.1_0.5,187,0.2159989348033213,1.0333113709901534,0.038434763214945065
1,original_rf,SWB_nn,original_rf,187,0.1655765301112981,1.051864199277322,0.16635388887448355
1,original_rf,SWB_pp,original_rf,187,0.1534724346429638,0.9961657591428111,0.09040350270650291
1,original_rf,SWB_avg,original_rf,187,0.21304075511140932,1.0191598164194418,0.16551469933415355
1,mean,SWB_nn,mean,187,0.16742646879101047,1.0636163737355004,
1,mean,SWB_pp,mean,187,0.15393705440697708,0.9991815339365568,
1,mean,SWB_avg,mean,187,0.21584934588874058,1.0325957566907076,
2,selected,SWB_nn,en_0.1_0.5,187,0.16239719508900882,1.019355113753432,-0.04161133965937967
2,selected,SWB_pp,en_0.1_0.5,187,0.1701921400780243,1.1377187740279564,0.08447952508106817
2,selected,SWB_avg,en_0.1_0.5,187,0.21430041880257886,1.0258519578655607,0.14462334847904956
2,original_rf,SWB_nn,original_rf,187,0.16042309411907466,1.0069638288075002,0.03954220818160073
2,original_rf,SWB_pp,original_rf,187,0.1709732588621703,1.1429404811236035,0.069459482953237
2,original_rf,SWB_avg,original_rf,187,0.21697789113843433,1.0386689661253465,0.048613615660668075
2,mean,SWB_nn,mean,187,0.1596075663750233,1.0018448218206435,
2,mean,SWB_pp,mean,187,0.17076906558847402,1.1415754679043797,
2,mean,SWB_avg,mean,187,0.2163796529406154,1.0358052114489367,
3,selected,SWB_nn,rf_60,186,0.14918870412913882,0.9240630460045202,0.17735742777097843
3,selected,SWB_pp,rf_60,186,0.15057923016723973,0.9729853258156062,0.09285360827019881
3,selected,SWB_avg,rf_60,186,0.2112210780782124,1.0069902579908518,0.13733577178454187
3,original_rf,SWB_nn,original_rf,186,0.14918040195095628,0.924011622968811,0.17209789997110128
3,original_rf,SWB_pp,original_rf,186,0.14997155271083135,0.9690587467830422,0.125392231025624
3,original_rf,SWB_avg,original_rf,186,0.21371339399721304,1.0188723006028104,0.05429236263316298
3,mean,SWB_nn,mean,186,0.1509962507089865,0.9352588467061825,
3,mean,SWB_pp,mean,186,0.15120915040743532,0.9770556291998367,
3,mean,SWB_avg,mean,186,0.21314811994920063,1.0161773732564365,
4,selected,SWB_nn,rf_60,186,0.1605582697137732,1.0109668359139963,0.11127602788821231
4,selected,SWB_pp,rf_60,186,0.1438050864567722,0.9201174288878445,0.11074881758613156
4,selected,SWB_avg,rf_60,186,0.2147417076682647,1.0252875882083867,0.043145722898522545
4,original_rf,SWB_nn,original_rf,186,0.16152555326621115,1.017057407232329,0.05781955870628183
4,original_rf,SWB_pp,original_rf,186,0.14318556787433306,0.9161535228865537,0.1422453966677581
4,original_rf,SWB_avg,original_rf,186,0.21402150239546675,1.0218489570492144,0.08102632808742444
4,mean,SWB_nn,mean,186,0.16153831661135934,1.0171377725643866,
4,mean,SWB_pp,mean,186,0.14463740520062354,0.9254429079892939,
4,mean,SWB_avg,mean,186,0.2142816975245015,1.0230912626972803,
