scenario,family,target,n,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p,rmse,rmse_ci_low,rmse_ci_high,r_squared,spearman_r,winner_pearson_holm_p
primary,mean,SWB_nn,104,,,,,0.1694921761095729,0.1504312446065069,0.1898677790772456,-0.0205869515443244,,
primary,mean,SWB_pp,104,,,,,0.1696342018337145,0.146268300783252,0.1923646110484598,-0.0162230922451798,,
primary,mean,SWB_avg,104,,,,,0.2048487999236541,0.1840204710764769,0.2253816835195112,-0.0092226959348737,,
primary,ridge,SWB_nn,104,0.2737419616909849,0.0856702262856424,0.4429766868226278,0.0049263584426511,0.1688095748679074,0.148369095452884,0.1888377910236322,-0.012383020152987,0.2347764869993919,
primary,ridge,SWB_pp,104,0.3303983170674019,0.1471749559385088,0.4916993092109914,0.0006138583080497,0.163041284064568,0.1402460898112664,0.1857396915182403,0.0612339089472649,0.395354057588445,
primary,ridge,SWB_avg,104,0.1662905696023585,-0.0271677180836131,0.3477421419585727,0.0915822830706065,0.2017709537642853,0.1811836673523679,0.2215786889262994,0.0208765449092129,0.1605558488822486,
primary,single_rf,SWB_nn,104,0.2302079010015997,0.0393649332903623,0.4048470960351264,0.0187248620190419,0.1651809974864825,0.1438691358134645,0.1852860527329637,0.0306717522033594,0.2243539666085706,
primary,single_rf,SWB_pp,104,0.325157612905454,0.1414256799565351,0.487234471117098,0.0007574324763349,0.1634168722033889,0.1411625695851579,0.185574063213497,0.0569037721947617,0.3145161692544685,
primary,single_rf,SWB_avg,104,0.1844504522228123,-0.0084374979525015,0.3641045951370027,0.0608732110975667,0.2013299587382972,0.1803644707110533,0.221974377055898,0.0251518551278936,0.1662420793922081,
primary,single_et,SWB_nn,104,0.2760642759434268,0.088163411058257,0.4449936445394506,0.0045592184005006,0.1654014453217028,0.145348843062398,0.1860705978982016,0.0280827267317416,0.2673795838446929,
primary,single_et,SWB_pp,104,0.2745972061434311,0.0865881237442705,0.4437196761902749,0.0047881941529099,0.1651547155204146,0.1422988596692081,0.1873507809277654,0.0367385577623265,0.2740251104048324,
primary,single_et,SWB_avg,104,0.2245820244927363,0.0334401478055083,0.399874918182547,0.0219070202662433,0.2003737475853629,0.1794768408953842,0.2201282155263399,0.0343898943995906,0.1609994176156383,
primary,single_hgb,SWB_nn,104,0.0753573441390608,-0.1189573007510082,0.2641125207839795,0.4470807421877928,0.1724157186110653,0.1501865497595097,0.1943422518335536,-0.056098469835518,0.0661143579481313,
primary,single_hgb,SWB_pp,104,0.2190716022300005,0.0276499452550041,0.3949947571315327,0.0254624454212908,0.1667448253395015,0.145665852524243,0.187021381454345,0.0181007000834243,0.1509333598676077,
primary,single_hgb,SWB_avg,104,0.189738283267058,-0.0029580323146567,0.3688482904554484,0.0537141500490459,0.2038577031924847,0.1799839978336927,0.2267995788723483,0.0005192956991283,0.1991035750742954,
primary,joint_rf,SWB_nn,104,0.2467042330190994,0.0568154420085266,0.4193673385513733,0.0115815944788296,0.1661067154487637,0.1456357955821815,0.186444166158528,0.0197765644270597,0.2752806128851976,0.0231631889576593
primary,joint_rf,SWB_pp,104,0.2844371940332971,0.0971719774398177,0.4522514233484326,0.0034297420511893,0.1648669756713614,0.1434437313681295,0.1871174934634138,0.0400921072305404,0.251284947143236,0.0102892261535679
primary,joint_rf,SWB_avg,104,0.1519207471584499,-0.0418931951662927,0.3347158078931731,0.12367757520742,0.2024146798455333,0.1813676198002255,0.2221605013328184,0.0146190264593617,0.166749778544883,0.12367757520742
primary,joint_et,SWB_nn,104,0.3117809615744206,0.1268069002044262,0.4757996348387467,0.0012737426111133,0.1657120659158778,0.1452449837222001,0.1860720832835989,0.024428816706156,0.3067992547641549,
primary,joint_et,SWB_pp,104,0.3056327072757917,0.1201145776755941,0.4705252244727182,0.001604769850134,0.1655041195539598,0.1420546862188354,0.1878882552492232,0.032658462852356,0.3023314588011677,
primary,joint_et,SWB_avg,104,0.2267682221747568,0.0357409057380438,0.4018083170414735,0.0206192655838253,0.2012632261651239,0.1804491357239596,0.2217594011229518,0.0257979918895476,0.181793706068883,
primary,multitask_en,SWB_nn,104,0.3314010648384642,0.1482764259131017,0.4925526384468892,0.000589411749286,0.1657107641024136,0.1460299233550931,0.1858917656367117,0.0244441445787063,0.3441194636059167,
primary,multitask_en,SWB_pp,104,0.4015910560431026,0.2265224655213352,0.551523510427886,2.3869307400729432e-05,0.1650094832312559,0.1431272364853488,0.1866743103132442,0.0384319414883659,0.4084682461736504,
primary,multitask_en,SWB_avg,104,0.1684184843141182,-0.0249799767064194,0.3496651736696365,0.0874490474836058,0.2024761834101156,0.1820772293153132,0.2226192883448262,0.0140201207900683,0.2047256751649695,
