candidate,parameters,macro_normalized_rmse
mean,"{""id"": ""mean"", ""kind"": ""mean""}",1.0007300981343936
original_rf,"{""id"": ""original_rf"", ""kind"": ""original_rf""}",1.0001397615691388
ridge_raw_10,"{""id"": ""ridge_raw_10"", ""kind"": ""ridge"", ""log"": false, ""alpha"": 10}",1.0703389044571296
ridge_raw_100,"{""id"": ""ridge_raw_100"", ""kind"": ""ridge"", ""log"": false, ""alpha"": 100}",1.0298431364594103
ridge_raw_1000,"{""id"": ""ridge_raw_1000"", ""kind"": ""ridge"", ""log"": false, ""alpha"": 1000}",1.0012552994349244
ridge_log_10,"{""id"": ""ridge_log_10"", ""kind"": ""ridge"", ""log"": true, ""alpha"": 10}",1.070877547003935
ridge_log_100,"{""id"": ""ridge_log_100"", ""kind"": ""ridge"", ""log"": true, ""alpha"": 100}",1.0301087575914658
ridge_log_1000,"{""id"": ""ridge_log_1000"", ""kind"": ""ridge"", ""log"": true, ""alpha"": 1000}",1.001298730407584
svr_0.1,"{""id"": ""svr_0.1"", ""kind"": ""svr"", ""C"": 0.1}",1.0039687270947444
svr_1,"{""id"": ""svr_1"", ""kind"": ""svr"", ""C"": 1}",1.0214528827117015
svr_10,"{""id"": ""svr_10"", ""kind"": ""svr"", ""C"": 10}",1.1018719108684643
hgb_10,"{""id"": ""hgb_10"", ""kind"": ""hgb"", ""l2"": 10}",1.0139021281596383
hgb_100,"{""id"": ""hgb_100"", ""kind"": ""hgb"", ""l2"": 100}",1.0012991298176608
en_0.01_0.1,"{""id"": ""en_0.01_0.1"", ""kind"": ""en"", ""alpha"": 0.01, ""l1"": 0.1}",1.0654026625104693
en_0.01_0.5,"{""id"": ""en_0.01_0.5"", ""kind"": ""en"", ""alpha"": 0.01, ""l1"": 0.5}",1.044571932076674
en_0.1_0.1,"{""id"": ""en_0.1_0.1"", ""kind"": ""en"", ""alpha"": 0.1, ""l1"": 0.1}",1.0173101139799965
en_0.1_0.5,"{""id"": ""en_0.1_0.5"", ""kind"": ""en"", ""alpha"": 0.1, ""l1"": 0.5}",0.9983906859015589
pls_2,"{""id"": ""pls_2"", ""kind"": ""pls"", ""components"": 2}",1.0055781331910574
pls_5,"{""id"": ""pls_5"", ""kind"": ""pls"", ""components"": 5}",1.0270914696784934
pls_10,"{""id"": ""pls_10"", ""kind"": ""pls"", ""components"": 10}",1.0460402206333046
rf_30,"{""id"": ""rf_30"", ""kind"": ""rf"", ""leaf"": 30}",0.9978609438443744
rf_60,"{""id"": ""rf_60"", ""kind"": ""rf"", ""leaf"": 60}",0.9968722745925931
